Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Diving Supervisor,"1,396.90",36.76
Hyperbaric Welder,"1,083.80",28.52
Diver,"1,036.10",27.27
Diver’s Attendant,851.90,22.42
