Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Introductory level,740.80,19.49
Maintenance and Horticultural Employee Level 1,771.40,20.30
Maintenance and Horticultural Employee Level 2,832.10,21.90
Tradesperson ,862.50,22.70
Trackwork and Pool Supervisor,930.20,24.48
Management Employee Level 1 ,997.90,26.26
Management Employee Level 2,"1,101.50",28.99
