Employee classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Entry Level—Introductory,768.00,20.21
Level 1—Basic,805.90,21.21
Level 2—Intermediate,837.00,22.03
Level 3—Competent,862.50,22.70
Level 4—Advanced,920.20,24.22
Level 5—Advanced Specialist,980.00,25.79
Level 6—Dual Trade,1028.00,27.05
Level 7—Dual Trade Instrument Technician,1069.80,28.15
