Classification level,Minimum weekly wage,Minimum hourly wage
Level 1,740.80,19.49
Level 2,762.10,20.06
Level 3,818.50,21.54
Level 3A,862.50,22.70
Level 4,898.00,23.63
Level 4A,941.10,24.77
Level 5,991.90,26.10
Level 6,983.30,25.88
Level 7,1021.60,26.88
