Classification,Minimum weekly rate(full-time employee),Minimum hourly rate
Gardener/Landscaper,$,$
Introductory Level ,740.80,19.49
Level 1,762.10,20.06
Level 2,791.30,20.82
Level 3,827.90,21.79
Level 4,862.50,22.70
Level 5,889.50,23.41
